2	2470	gpe
2	2474	gpe
2	2480	gpe
2	2487	gpe
2	2490	gpe
2	2492	gpe
2	2496	gpe
2	2498	gpe
2	2499	gpe
2	2508	gpe
2	2512	gpe
2	2515	gpe
2	2517	gpe
2	2523	gpe
2	2534	gpi
2	2549	gpi
2	2556	gpi
2	5042	gpe
2	5044	gpe
2	5047	gpe
2	5051	gpe
2	5054	gpe
2	5056	gpe
2	5057	gpe
2	5059	gpe
2	5065	gpe
2	5066	gpe
2	5068	gpe
2	5071	gpe
2	5074	gpe
2	5078	gpe
2	5082	gpe
2	5083	gpe
2	5086	gpe
2	5089	gpe
2	5094	gpe
2	5098	gpe
2	5124	gpi
2	5126	gpi
2	5134	gpi
3	2469	gpe
3	2471	gpe
3	2472	gpe
3	2473	gpe
3	2475	gpe
3	2476	gpe
3	2477	gpe
3	2478	gpe
3	2479	gpe
3	2482	gpe
3	2483	gpe
3	2484	gpe
3	2485	gpe
3	2486	gpe
3	2488	gpe
3	2489	gpe
3	2494	gpe
3	2495	gpe
3	2497	gpe
3	2501	gpe
3	2503	gpe
3	2505	gpe
3	2507	gpe
3	2510	gpe
3	2511	gpe
3	2513	gpe
3	2514	gpe
3	2516	gpe
3	2518	gpe
3	2519	gpe
3	2521	gpe
3	2522	gpe
3	2525	gpe
3	2526	gpe
3	2527	gpe
3	2528	gpe
3	2532	gpi
3	2535	gpi
3	2539	gpi
3	2540	gpi
3	2546	gpi
3	2551	gpi
3	2564	gpi
3	5041	gpe
3	5043	gpe
3	5045	gpe
3	5048	gpe
3	5049	gpe
3	5050	gpe
3	5052	gpe
3	5053	gpe
3	5058	gpe
3	5060	gpe
3	5061	gpe
3	5062	gpe
3	5063	gpe
3	5064	gpe
3	5067	gpe
3	5069	gpe
3	5072	gpe
3	5075	gpe
3	5076	gpe
3	5077	gpe
3	5079	gpe
3	5080	gpe
3	5081	gpe
3	5087	gpe
3	5088	gpe
3	5090	gpe
3	5092	gpe
3	5093	gpe
3	5095	gpe
3	5096	gpe
3	5097	gpe
3	5099	gpe
